Hemisphere,Month,Day,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
NH,January,1,14.261,14.319,13.634,14.069,14.035,14.095,14.145,13.804,13.657,14.025,13.823,13.442,13.479,13.59,13.647,13.502,13.16,13.16,13.11,13.206,13.189,13.205,12.896,13.353,12.959,13.011,13.073,12.721,12.643,12.484,12.934,13.046,12.711,13.302,12.734
NH,January,2,14.313,14.384,13.831,14.092,14.141,14.11,14.258,13.818,13.801,14.097,13.886,13.539,13.385,13.628,13.698,13.538,13.163,13.21,13.207,13.164,13.18,13.232,12.915,13.421,12.961,13.103,13.125,12.806,12.644,12.6,12.992,13.072,12.71,13.438,12.724
NH,January,3,14.402,14.283,13.847,14.141,14.25,14.042,14.335,13.786,13.837,14.262,13.884,13.63,13.418,13.598,13.876,13.502,13.293,13.267,13.182,13.19,13.267,13.254,12.926,13.379,13.012,13.116,13.112,12.79,12.713,12.634,12.98,13.17,12.799,13.411,12.717
NH,January,4,14.417,14.321,13.858,14.072,14.255,14.168,14.288,13.791,13.864,14.277,13.913,13.657,13.51,13.623,13.925,13.59,13.313,13.307,13.252,13.275,13.286,13.236,13.051,13.414,13.045,13.219,13.051,12.829,12.954,12.724,13.045,13.193,12.834,13.436,12.786
NH,January,5,14.381,14.303,13.872,14.185,14.266,14.231,14.304,13.839,14.016,14.217,13.89,13.678,13.566,13.683,14.036,13.617,13.383,13.314,13.361,13.303,13.352,13.337,13.176,13.417,13.065,13.148,13.115,12.874,12.956,12.834,13.147,13.166,12.862,13.477,12.841
NH,January,6,14.359,14.407,13.958,14.254,14.22,14.295,14.325,13.877,14.139,14.263,14.044,13.806,13.722,13.645,14.075,13.594,13.324,13.265,13.403,13.325,13.447,13.458,13.169,13.404,13.126,13.142,13.138,13.039,12.839,12.772,13.316,13.195,12.917,13.537,12.875
NH,January,7,14.42,14.497,13.976,14.282,14.348,14.381,14.364,14.007,14.188,14.304,14.089,13.761,13.846,13.875,14.092,13.631,13.452,13.301,13.51,13.411,13.478,13.499,13.173,13.477,13.202,13.243,13.18,13.079,12.881,12.75,13.282,13.202,13.024,13.52,12.998
NH,January,8,14.548,14.54,13.985,14.406,14.434,14.322,14.344,13.976,14.321,14.321,14.239,13.892,13.882,13.846,14.12,13.749,13.404,13.292,13.459,13.433,13.586,13.536,13.184,13.544,13.194,13.161,13.231,13.101,12.87,12.74,13.236,13.295,13.039,13.69,13.205
NH,January,9,14.701,14.623,14.071,14.419,14.493,14.397,14.31,13.941,14.258,14.46,14.312,13.797,14.028,13.91,14.094,13.794,13.431,13.336,13.435,13.532,13.646,13.584,13.153,13.64,13.287,13.236,13.292,13.186,12.847,12.874,13.458,13.248,13.078,13.68,13.177
NH,January,10,14.755,14.663,14.141,14.481,14.507,14.476,14.263,13.915,14.238,14.465,14.24,13.938,14.063,13.925,14.126,13.842,13.503,13.431,13.217,13.586,13.73,13.603,13.177,13.691,13.404,13.398,13.254,13.387,12.896,12.87,13.383,13.216,13.179,13.68,13.204
NH,January,11,14.819,14.66,14.205,14.509,14.523,14.515,14.336,13.95,14.257,14.467,14.265,14.139,14.088,13.885,14.219,13.917,13.55,13.491,13.227,13.744,13.777,13.695,13.212,13.749,13.474,13.475,13.363,13.493,12.994,12.892,13.389,13.317,13.218,13.749,13.193
NH,January,12,14.886,14.716,14.212,14.51,14.593,14.58,14.479,13.951,14.323,14.483,14.332,14.041,14.133,13.98,14.278,13.991,13.516,13.535,13.29,13.678,13.79,13.672,13.221,13.879,13.559,13.52,13.432,13.41,12.91,12.887,13.324,13.393,13.356,13.753,13.232
NH,January,13,14.921,14.685,14.348,14.543,14.623,14.595,14.518,14.095,14.417,14.568,14.347,13.97,14.055,14.163,14.285,14.075,13.656,13.424,13.367,13.747,13.857,13.728,13.331,13.883,13.609,13.456,13.504,13.57,12.874,13.013,13.339,13.438,13.361,13.788,13.447
NH,January,14,14.997,14.74,14.346,14.631,14.765,14.617,14.619,14.025,14.336,14.672,14.407,13.908,14.095,14.236,14.395,14.148,13.62,13.44,13.444,13.78,14.008,13.76,13.403,13.84,13.625,13.514,13.573,13.499,12.851,13.059,13.462,13.546,13.426,13.797,13.428
NH,January,15,15.011,14.728,14.389,14.56,14.899,14.685,14.56,14.037,14.334,14.709,14.473,13.981,14.088,14.222,14.424,14.056,13.604,13.474,13.523,13.822,14.115,13.846,13.489,13.703,13.733,13.574,13.661,13.512,12.883,13.107,13.537,13.58,13.523,13.837,13.435
NH,January,16,14.956,14.671,14.404,14.52,14.985,14.757,14.588,14.15,14.347,14.688,14.434,14.109,14.191,14.313,14.518,14.203,13.74,13.451,13.67,13.849,14.123,13.82,13.509,13.624,13.823,13.631,13.782,13.545,13.033,13.151,13.575,13.569,13.65,13.905,13.508
NH,January,17,15.012,14.741,14.468,14.614,15.109,14.807,14.69,14.22,14.42,14.732,14.402,14.211,14.249,14.366,14.584,14.077,13.809,13.445,13.712,13.865,14.094,13.812,13.482,13.599,13.912,13.715,13.765,13.58,13.058,13.147,13.633,13.697,13.821,13.93,13.53
NH,January,18,15.08,14.899,14.458,14.658,15.138,14.895,14.668,14.237,14.565,14.801,14.388,14.315,14.318,14.372,14.638,14.139,13.711,13.307,13.776,13.922,14.162,13.826,13.506,13.655,13.88,13.727,13.778,13.644,13.119,13.166,13.639,13.762,13.775,14.059,13.486
NH,January,19,15.166,14.959,14.561,14.745,15.154,14.865,14.737,14.318,14.592,14.81,14.459,14.344,14.424,14.429,14.684,14.203,13.705,13.431,13.89,13.997,14.268,13.881,13.637,13.673,13.971,13.778,13.856,13.63,13.267,13.177,13.686,13.795,13.736,14.053,13.543
NH,January,20,15.165,15.004,14.577,14.772,15.206,14.894,14.764,14.338,14.666,14.93,14.432,14.454,14.449,14.561,14.796,14.28,13.765,13.337,13.914,13.964,14.19,13.96,13.609,13.676,14.012,13.848,13.818,13.677,13.384,13.212,13.759,13.88,13.77,14.022,13.498
NH,January,21,15.265,14.977,14.635,14.83,15.175,14.948,14.793,14.256,14.637,14.897,14.37,14.475,14.539,14.657,14.739,14.233,13.705,13.317,13.951,14.07,14.168,13.94,13.59,13.782,14.032,13.855,13.752,13.737,13.402,13.215,13.82,13.898,13.761,14.122,13.525
NH,January,22,15.288,15.018,14.642,14.906,15.324,14.933,14.801,14.373,14.686,14.936,14.386,14.456,14.575,14.674,14.555,14.237,13.764,13.472,14.014,14.189,14.251,13.889,13.669,13.89,13.981,13.987,13.86,13.704,13.496,13.217,13.805,13.933,13.841,14.12,13.543
NH,January,23,15.378,15.023,14.711,14.932,15.31,15.021,14.826,14.423,14.752,14.96,14.503,14.583,14.609,14.624,14.481,14.32,13.851,13.592,14.089,14.286,14.232,13.866,13.66,13.964,14.015,13.997,13.93,13.684,13.622,13.318,13.865,14.032,13.894,14.111,13.63
NH,January,24,15.369,14.983,14.715,14.946,15.394,15.054,14.758,14.467,14.719,14.987,14.602,14.625,14.715,14.64,14.528,14.321,13.963,13.521,14.175,14.455,14.184,13.904,13.769,13.982,14.082,14.029,13.944,13.738,13.734,13.427,13.906,13.979,13.945,14.098,13.663
NH,January,25,15.38,15.021,14.789,14.905,15.447,15.089,14.802,14.598,14.756,15.107,14.622,14.728,14.585,14.668,14.585,14.217,13.981,13.546,14.226,14.468,14.166,13.991,13.745,13.914,14.222,14.131,13.968,13.751,13.781,13.433,13.89,14.051,13.97,13.996,13.777
NH,January,26,15.373,15.194,14.742,15,15.515,15.141,14.76,14.405,14.789,15.185,14.599,14.778,14.65,14.744,14.583,14.321,13.892,13.658,14.189,14.525,14.133,14.089,13.767,13.962,14.204,14.209,13.92,13.819,13.717,13.352,13.939,14.053,13.982,14.057,13.734
NH,January,27,15.43,15.074,14.753,15.1,15.551,15.255,14.794,14.527,14.7,15.183,14.596,14.882,14.625,14.803,14.791,14.366,13.931,13.719,14.26,14.533,14.231,14.045,13.932,13.93,14.243,14.218,13.976,13.816,13.702,13.272,14.054,14.062,14.044,14.184,13.673
NH,January,28,15.502,15.083,14.762,15.212,15.601,15.299,14.867,14.625,14.707,15.251,14.67,14.868,14.673,14.923,14.891,14.342,14.064,13.775,14.215,14.593,14.291,13.949,13.998,14.048,14.285,14.162,14.005,13.85,13.694,13.401,14.076,14.125,14.002,14.218,13.635
NH,January,29,15.364,15.17,14.744,15.182,15.548,15.359,14.96,14.532,14.81,15.375,14.745,14.906,14.718,14.878,14.771,14.337,14.097,13.856,14.218,14.609,14.336,14.041,13.968,14.035,14.312,14.139,13.991,13.904,13.636,13.45,14.051,14.226,14.003,14.343,13.684
NH,January,30,15.319,15.257,14.813,15.188,15.507,15.4,14.956,14.653,14.872,15.425,14.837,14.98,14.764,14.951,14.811,14.28,14.136,13.801,14.276,14.519,14.38,14.111,13.999,14.036,14.281,14.132,14.047,13.895,13.713,13.563,14.041,14.276,14.117,14.487,13.67
NH,January,31,15.361,15.318,14.831,15.259,15.462,15.397,14.966,14.673,14.938,15.479,14.952,14.938,14.839,15.039,14.871,14.397,14.019,13.958,14.232,14.465,14.408,14.142,14.067,14.048,14.272,14.198,14.176,13.89,13.781,13.657,14.021,14.297,14.181,14.4,13.64
NH,February,1,15.386,15.351,14.852,15.419,15.449,15.409,15.054,14.706,15.013,15.512,14.947,14.991,14.908,15.187,14.946,14.36,14.031,14.081,14.222,14.563,14.502,14.209,14.117,14.11,14.378,14.241,14.246,13.926,13.861,13.764,14.086,14.318,14.208,14.391,13.752
NH,February,2,15.427,15.39,14.84,15.387,15.475,15.42,15.086,14.798,15.051,15.58,14.951,14.959,14.894,15.226,14.954,14.389,14.071,14.118,14.371,14.66,14.604,14.266,14.155,14.137,14.335,14.341,14.218,13.954,13.865,13.833,14.019,14.37,14.247,14.473,13.898
NH,February,3,15.454,15.383,14.86,15.396,15.555,15.438,15.094,14.803,15.194,15.664,15.034,14.946,14.816,15.186,14.889,14.497,14.145,14.159,14.328,14.664,14.531,14.255,14.16,14.078,14.411,14.293,14.252,13.981,13.892,13.9,14.025,14.371,14.389,14.552,13.928
